epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
83,987.962,0.67968,0.94249,0.93629,1.00707,0,0.90137,0.90805,0.92507,0.74822,0.95194,0.95259,0.95357,0.81998,0.75477,0.6521,0.88069,0.86316,0,0.0001882,0.0001882,0.0001882
84,1000.89,0.68217,1.03295,0.86297,0.98971,0,0.89269,0.89642,0.92408,0.75941,0.94217,0.94119,0.95445,0.82426,0.74575,0.65481,0.88271,0.86421,0,0.0001783,0.0001783,0.0001783
85,1013.42,0.67963,0.99828,0.87644,0.98641,0,0.89356,0.84548,0.92139,0.74937,0.94613,0.88992,0.95177,0.81992,0.7542,0.64781,0.91851,0.87219,0,0.0001684,0.0001684,0.0001684
86,1026.2,0.72148,1.02788,0.90889,1.0074,0,0.94273,0.88296,0.9522,0.73702,0.94273,0.88296,0.9522,0.81641,0.78685,0.65398,0.93372,0.88813,0,0.0001585,0.0001585,0.0001585
87,1038.36,0.66997,0.99069,0.88236,0.9761,0,0.9685,0.85909,0.94642,0.73326,0.9685,0.85909,0.94642,0.80416,0.79619,0.65887,0.97089,0.8928,0,0.0001486,0.0001486,0.0001486
88,1050.51,0.67727,0.91331,0.89351,0.98433,0,0.96304,0.85909,0.94455,0.73369,0.96304,0.85909,0.94455,0.79776,0.79077,0.67355,1.01255,0.89415,0,0.0001387,0.0001387,0.0001387
89,1062.87,0.66767,0.95436,0.88654,0.9969,0,0.91283,0.88359,0.9434,0.73496,0.91283,0.88359,0.9434,0.79285,0.75837,0.67062,1.00163,0.87902,0,0.0001288,0.0001288,0.0001288
90,1073.9,0.65778,1.12272,0.88402,0.99726,0,0.90795,0.897,0.93887,0.72955,0.90795,0.897,0.93887,0.78881,0.76003,0.67442,0.991,0.88408,0,0.0001189,0.0001189,0.0001189
91,1084.15,0.59261,0.72227,1.20582,0.93697,0,0.88231,0.85909,0.87491,0.72093,0.92858,0.90455,0.91991,0.76898,0.74788,0.72035,1.06707,0.90103,0,0.000109,0.000109,0.000109
92,1094.49,0.57915,0.69208,1.09479,0.94408,0,0.88796,0.85909,0.88201,0.71724,0.93377,0.90455,0.92381,0.75909,0.77284,0.77111,1.10472,0.92696,0,9.91e-05,9.91e-05,9.91e-05
93,1104.83,0.59897,0.70599,1.12423,0.96969,0,0.88961,0.85909,0.86079,0.7005,0.93516,0.90455,0.91233,0.74799,0.82369,0.80025,1.13135,0.96077,0,8.92e-05,8.92e-05,8.92e-05
94,1115.01,0.55828,0.66743,0.98495,0.9183,0,0.8764,0.85909,0.86837,0.71597,0.92138,0.90455,0.91522,0.75714,0.81202,0.80992,1.13489,0.93631,0,7.93e-05,7.93e-05,7.93e-05
